iteration,loss,epsilon,eval_reward,avg_pieces_placed,avg_score,timestamp
10000,298.058366,0.9010,-109.8969,2026-03-27T12:33:22.228967
20000,386.208583,0.8020,-153.8656,2026-03-27T13:05:13.126053
30000,988.823838,0.7030,-31.2969,2026-03-27T13:23:57.463853
40000,1244.472033,0.6040,-23.4000,2026-03-27T13:42:46.586663
50000,1233.361585,0.5050,-144.7562,2026-03-27T14:01:39.872424
60000,1528.112594,0.4060,86.6312,2026-03-27T14:20:25.411614
70000,2219.986302,0.3070,175.7937,2026-03-27T14:39:18.303518
80000,3641.595644,0.2080,-170.6506,2026-03-27T15:18:39.156547
90000,11520.475470,0.1090,-40.2988,2026-03-27T21:24:46.039379
100000,4265.738787,0.0100,92.7444,2026-03-27T21:43:08.747792
110000,4014.750250,0.0100,-124.3325,2026-03-27T22:01:27.117812
120000,4328.205378,0.0100,174.2613,2026-03-27T22:19:34.002815
130000,4506.083712,0.0100,-34.4712,2026-03-27T22:37:50.674530
140000,4998.894316,0.0100,-88.7875,2026-03-27T22:56:55.148782
150000,5643.752183,0.0100,42.4819,2026-03-27T23:15:05.617493
160000,5568.473412,0.0100,183.8925,2026-03-27T23:33:34.301428
170000,8821.708344,0.0100,298.6188,2026-03-28T00:12:58.787386
10000,628.842366,0.9010,-297.2856,2026-03-28T03:15:36.698969
20000,309.686343,0.8020,-305.0750,2026-03-28T03:34:14.530377
30000,425.124783,0.7030,-252.8856,2026-03-28T03:52:57.898445
40000,2391.068749,0.6040,684.9844,2026-03-28T04:11:52.951110
50000,5119.529475,0.5050,-309.4319,2026-03-28T04:30:23.324212
60000,6441.294103,0.4060,468.6250,2026-03-28T04:48:57.924813
70000,7541.118632,0.3070,583.0725,2026-03-28T05:07:35.225524
80000,7854.030926,0.2080,611.6550,2026-03-28T05:26:07.356345
90000,7643.235824,0.1090,440.4075,2026-03-28T05:44:43.694141
100000,5412.794664,0.0100,548.9000,2026-03-28T06:03:19.465675
110000,5193.268337,0.0100,557.3269,2026-03-28T06:21:50.862493
120000,4959.724581,0.0100,495.7900,2026-03-28T06:40:29.606084
130000,5191.501715,0.0100,495.9488,2026-03-28T06:59:02.566491
140000,4551.236323,0.0100,582.4831,2026-03-28T07:18:00.066505
150000,4187.712112,0.0100,822.4625,2026-03-28T07:36:37.772412
160000,4465.180426,0.0100,647.9125,2026-03-28T07:55:15.601588
170000,4116.139466,0.0100,626.8744,2026-03-28T08:13:56.460532
180000,3880.622128,0.0100,668.1212,2026-03-28T08:32:35.027663
190000,3856.628556,0.0100,489.8906,2026-03-28T08:51:13.186274
200000,3430.249413,0.0100,589.2625,2026-03-28T09:10:02.597198
210000,3710.262055,0.0100,631.0650,2026-03-28T09:28:39.054486
220000,3725.937686,0.0100,762.9850,2026-03-28T09:47:17.007848
230000,3747.092883,0.0100,120.9950,2026-03-28T10:05:57.966592
240000,3614.699419,0.0100,652.9162,2026-03-28T10:24:38.112002
250000,3665.321112,0.0100,655.0787,2026-03-28T10:43:24.881378
260000,3768.374760,0.0100,745.2963,2026-03-28T11:02:03.727608
270000,3590.245746,0.0100,378.3531,2026-03-28T11:27:32.201455
280000,3878.029116,0.0100,480.0856,2026-03-28T11:46:21.596318
290000,3613.104414,0.0100,163.9575,2026-03-28T12:05:09.026054
300000,3327.993992,0.0100,131.7756,2026-03-28T12:23:52.581145
310000,3027.194067,0.0100,106.9169,2026-03-28T12:42:43.860193
320000,2492.569476,0.0100,406.8213,2026-03-28T13:01:58.752696
330000,2606.638239,0.0100,371.9269,2026-03-28T13:21:03.248924
340000,2476.817560,0.0100,37.0975,2026-03-28T13:39:56.789407
350000,2560.041089,0.0100,55.5156,2026-03-28T13:58:44.127308
360000,2589.879061,0.0100,36.8506,2026-03-28T14:17:36.222250
370000,2470.520423,0.0100,322.9888,2026-03-28T14:36:22.118062
380000,2299.659115,0.0100,236.5619,2026-03-28T14:55:21.291877
390000,2159.364636,0.0100,143.5175,2026-04-02T01:42:48.450154
400000,2255.747529,0.0100,47.5106,2026-04-02T02:01:22.382903
