iteration,loss,epsilon,eval_reward,avg_pieces_placed,avg_score,timestamp
40000,1784.675547,0.9604,-813.0934,0.00,0.00,2026-04-15T02:38:12.939123
50000,1764.755849,0.9505,-940.2487,0.00,0.00,2026-04-15T02:56:35.907382
60000,2614.611057,0.9406,-849.2034,0.00,0.00,2026-04-15T03:15:01.187301
70000,3987.792861,0.9307,-1006.0094,0.00,0.00,2026-04-15T03:33:34.338707
80000,6175.839928,0.9208,-800.5866,0.00,0.00,2026-04-15T03:52:15.026922
90000,6707.257748,0.9109,-1015.8456,0.00,0.00,2026-04-15T04:10:43.539553
100000,7302.550536,0.9010,-733.8735,0.00,0.00,2026-04-15T04:29:04.177273
110000,8137.110917,0.8911,-939.1946,0.00,0.00,2026-04-15T04:47:29.778670
120000,5646.011127,0.8812,-786.0621,0.00,0.00,2026-04-15T05:05:55.747952
130000,3447.915962,0.8713,-887.7775,0.00,0.00,2026-04-15T05:24:18.603876
140000,3573.790356,0.8614,-610.7623,0.00,0.00,2026-04-15T05:42:37.911308
150000,3331.913505,0.8515,-529.0511,0.00,0.00,2026-04-15T06:01:06.874719
160000,4210.193761,0.8416,-807.6293,0.00,0.00,2026-04-15T06:19:29.224945
170000,5020.245982,0.8317,-662.1586,0.00,0.00,2026-04-15T06:37:57.315050
180000,5680.518567,0.8218,-765.7439,0.00,0.00,2026-04-15T06:56:34.419724
190000,6014.121617,0.8119,-815.4899,0.00,0.00,2026-04-15T07:15:15.066686
200000,6272.800231,0.8020,-678.0661,0.00,0.00,2026-04-15T07:34:00.531727
210000,5241.982504,0.7921,-620.8075,0.00,0.00,2026-04-15T07:52:27.646642
220000,5674.213130,0.7822,-641.9779,0.00,0.00,2026-04-15T08:11:10.640200
230000,5644.018586,0.7723,-1026.4086,0.00,0.00,2026-04-15T08:29:37.259802
240000,7233.353918,0.7624,-1013.4404,0.00,0.00,2026-04-15T08:48:05.069132
250000,7664.129041,0.7525,-1028.8280,0.00,0.00,2026-04-15T09:06:32.576186
260000,8796.173877,0.7426,-747.7480,0.00,0.00,2026-04-15T09:24:58.029440
270000,9219.089257,0.7327,-722.4105,0.00,0.00,2026-04-15T09:43:27.139441
280000,9598.413163,0.7228,-655.5911,0.00,0.00,2026-04-15T10:01:54.832859
290000,9327.657909,0.7129,-619.4840,0.00,0.00,2026-04-15T10:20:27.166034
300000,9925.779241,0.7030,-798.8961,0.00,0.00,2026-04-15T10:39:11.546742
310000,9883.799223,0.6931,-939.9534,0.00,0.00,2026-04-15T10:57:40.702994
320000,9906.345292,0.6832,-346.5230,0.00,0.00,2026-04-15T11:16:18.440712
330000,10268.047135,0.6733,-970.9325,0.00,0.00,2026-04-15T11:34:40.134517
340000,9599.576475,0.6634,-608.5405,0.00,0.00,2026-04-15T11:53:04.255214
350000,9686.255481,0.6535,-548.0998,0.00,0.00,2026-04-15T12:11:32.305264
360000,9824.966299,0.6436,-598.4444,0.00,0.00,2026-04-15T12:29:56.855262
370000,10916.455908,0.6337,-840.2516,0.00,0.00,2026-04-15T12:48:19.581609
380000,10219.848538,0.6238,-822.6352,0.00,0.00,2026-04-15T13:07:05.423224
390000,10935.418817,0.6139,-444.5413,0.00,0.00,2026-04-15T13:25:34.384466
400000,12748.774331,0.6040,-799.5363,0.00,0.00,2026-04-15T13:43:58.548244
410000,13922.696856,0.5941,-1002.4955,0.00,0.00,2026-04-15T14:02:24.351436
420000,25559.691919,0.5842,-1086.0437,0.00,0.00,2026-04-15T14:20:51.030298
430000,78042.666415,0.5743,-505.5350,0.00,0.00,2026-04-15T14:39:14.490242
440000,35293.573842,0.5644,-399.0820,0.00,0.00,2026-04-15T14:57:59.741082
450000,15826.967451,0.5545,-445.5360,0.00,0.00,2026-04-15T21:09:44.056867
460000,24630.037539,0.5446,-127.8400,0.00,0.00,2026-04-15T21:27:46.739140
470000,22053.846109,0.5347,-385.6000,0.00,0.00,2026-04-15T21:45:44.931763
480000,21051.876877,0.5248,-148.0320,0.00,0.00,2026-04-15T22:03:46.465248
490000,21028.980432,0.5149,480.8000,0.00,0.00,2026-04-15T22:21:48.135240
500000,23655.688807,0.5050,395.8400,0.00,0.00,2026-04-15T22:39:49.600426
510000,27402.099007,0.4951,146.9120,0.00,0.00,2026-04-15T22:57:54.885865
520000,32431.101925,0.4852,-115.0400,0.00,0.00,2026-04-15T23:16:00.452283
530000,29857.566487,0.4753,540.5120,0.00,0.00,2026-04-15T23:34:00.894388
540000,24673.440090,0.4654,141.9840,0.00,0.00,2026-04-15T23:52:06.073480
550000,49090.992989,0.4555,-158.6880,0.00,0.00,2026-04-16T00:10:25.671767
560000,53128.633457,0.4456,124.6080,0.00,0.00,2026-04-16T00:28:25.508573
570000,33939.999670,0.4357,279.1040,0.00,0.00,2026-04-16T00:46:39.107196
580000,34020.340751,0.4258,-38.4320,0.00,0.00,2026-04-16T01:04:42.371028
590000,29227.141160,0.4159,-136.0000,0.00,0.00,2026-04-16T01:31:30.548424
600000,27085.939988,0.4060,-85.9200,0.00,0.00,2026-04-16T01:49:55.405197
610000,23171.179664,0.3961,705.9520,0.00,0.00,2026-04-16T02:08:21.325799
620000,24744.329971,0.3862,188.4800,0.00,0.00,2026-04-16T02:26:51.452625
630000,25729.303520,0.3763,-332.0640,0.00,0.00,2026-04-16T02:45:17.031822
640000,27014.078329,0.3664,166.4960,0.00,0.00,2026-04-16T03:03:44.512744
650000,31441.608407,0.3565,-161.7600,0.00,0.00,2026-04-16T03:22:11.370560
660000,30338.580579,0.3466,-156.1600,0.00,0.00,2026-04-16T03:40:35.042288
670000,29795.466799,0.3367,-91.0080,0.00,0.00,2026-04-16T03:59:06.094079
680000,29745.051582,0.3268,-129.7920,0.00,0.00,2026-04-16T04:17:36.980065
690000,26255.213244,0.3169,-102.9440,0.00,0.00,2026-04-16T10:56:27.393850
700000,24111.785204,0.3070,-118.8160,0.00,0.00,2026-04-16T11:20:04.281022
710000,22477.305301,0.2971,124.4800,0.00,0.00,2026-04-16T11:43:59.585356
720000,23173.597044,0.2872,299.9040,0.00,0.00,2026-04-17T02:27:27.575857
730000,25194.236958,0.2773,59.5520,0.00,0.00,2026-04-17T02:46:19.830955
740000,24114.833184,0.2674,398.2080,0.00,0.00,2026-04-17T03:05:08.990288
750000,24714.783940,0.2575,-125.2160,0.00,0.00,2026-04-17T03:24:14.581924
760000,24835.815506,0.2476,176.6080,0.00,0.00,2026-04-17T03:43:11.063449
770000,25434.760650,0.2377,-45.4080,0.00,0.00,2026-04-17T04:02:11.528480
780000,24497.091659,0.2278,152.6400,0.00,0.00,2026-04-17T04:21:11.595293
790000,24450.944943,0.2179,-131.6480,0.00,0.00,2026-04-17T04:40:13.047634
800000,25104.167872,0.2080,313.4080,0.00,0.00,2026-04-17T04:59:08.617851
810000,26651.477910,0.1981,-80.0640,0.00,0.00,2026-04-17T05:18:08.053540
820000,25547.941366,0.1882,-114.2720,0.00,0.00,2026-04-17T05:37:24.694947
830000,26249.307439,0.1783,172.4800,0.00,0.00,2026-04-17T05:56:19.946908
840000,27304.954964,0.1684,186.6880,0.00,0.00,2026-04-17T06:15:12.426180
850000,26572.119233,0.1585,187.2000,0.00,0.00,2026-04-17T06:34:11.893413
860000,25480.284626,0.1486,-328.3200,0.00,0.00,2026-04-17T06:53:07.499462
870000,27007.303721,0.1387,193.5680,0.00,0.00,2026-04-17T07:12:09.674987
880000,26230.723422,0.1288,-96.0000,0.00,0.00,2026-04-17T07:31:07.104727
890000,25446.982921,0.1189,-43.7440,0.00,0.00,2026-04-17T07:49:59.290876
900000,24371.335540,0.1090,-41.0880,0.00,0.00,2026-04-17T08:08:49.038880
910000,24106.481664,0.0991,-141.3440,0.00,0.00,2026-04-17T08:27:45.122141
920000,24092.840212,0.0892,-76.3520,0.00,0.00,2026-04-17T08:46:36.965575
930000,26362.007400,0.0793,422.6240,0.00,0.00,2026-04-17T09:05:38.470759
940000,29456.788336,0.0694,484.1280,0.00,0.00,2026-04-17T09:25:10.173124
950000,29446.122118,0.0595,476.9280,0.00,0.00,2026-04-17T09:44:10.319169
960000,32731.224706,0.0496,-378.2720,0.00,0.00,2026-04-17T10:03:19.114591
970000,27747.707043,0.0397,-39.6480,0.00,0.00,2026-04-17T10:22:25.901816
980000,26786.829550,0.0298,273.5360,0.00,0.00,2026-04-17T10:41:50.641568
990000,25720.359077,0.0199,21.9520,0.00,0.00,2026-04-17T11:00:52.000748
1000000,25446.501657,0.0100,484.5120,0.00,0.00,2026-04-17T11:20:33.450670
1010000,24683.110060,0.0100,696.6400,0.00,0.00,2026-04-17T11:40:24.699258
1020000,24155.352158,0.0100,137.5360,0.00,0.00,2026-04-17T12:00:10.161958
1030000,24373.558599,0.0100,-82.9440,0.00,0.00,2026-04-17T12:19:46.012930
1040000,23599.656751,0.0100,110.8480,0.00,0.00,2026-04-17T12:39:30.331191
1050000,23451.598023,0.0100,150.9760,0.00,0.00,2026-04-17T12:59:06.935416
1060000,23004.619566,0.0100,214.4320,0.00,0.00,2026-04-17T13:18:51.984439
1070000,23692.859215,0.0100,242.4960,0.00,0.00,2026-04-17T13:38:25.660780
1080000,24277.405396,0.0100,-119.0400,0.00,0.00,2026-04-17T13:58:03.639757
1090000,22581.740751,0.0100,453.6640,0.00,0.00,2026-04-17T14:17:49.894050
1100000,23134.430493,0.0100,-310.0480,0.00,0.00,2026-04-17T14:38:37.277308
1110000,23020.633943,0.0100,169.2800,0.00,0.00,2026-04-17T14:58:12.804496
1120000,22704.443005,0.0100,-135.5200,0.00,0.00,2026-04-17T15:17:58.643298
1130000,22638.903400,0.0100,171.7120,0.00,0.00,2026-04-17T15:37:30.874976
1140000,22524.489153,0.0100,215.8720,0.00,0.00,2026-04-17T15:57:07.934369
1150000,23306.608779,0.0100,-46.2400,0.00,0.00,2026-04-17T16:17:33.031501
1160000,22316.548616,0.0100,473.1840,0.00,0.00,2026-04-17T16:37:18.045063
1170000,22175.921155,0.0100,146.1120,0.00,0.00,2026-04-17T16:56:44.938142
1180000,22357.676239,0.0100,214.5280,0.00,0.00,2026-04-17T17:16:13.808601
1190000,23968.657377,0.0100,-304.3840,0.00,0.00,2026-04-17T17:35:51.658784
1200000,24481.708165,0.0100,-190.4320,0.00,0.00,2026-04-17T17:55:25.532028
1210000,22133.107200,0.0100,-94.5600,0.00,0.00,2026-04-17T18:15:09.788948
1220000,21925.022796,0.0100,218.7200,0.00,0.00,2026-04-18T03:04:48.524608
1230000,21288.622939,0.0100,513.7920,0.00,0.00,2026-04-18T03:24:32.347596
1240000,20851.789737,0.0100,128.9280,0.00,0.00,2026-04-18T03:44:14.294794
1250000,20703.853972,0.0100,213.2480,0.00,0.00,2026-04-18T04:03:48.778644
1260000,20309.492828,0.0100,269.8880,0.00,0.00,2026-04-18T04:23:48.814213
1270000,19692.826872,0.0100,-369.9840,0.00,0.00,2026-04-18T04:43:33.822101
1280000,19516.119860,0.0100,-29.4400,0.00,0.00,2026-04-18T05:03:09.582923
1290000,19451.184687,0.0100,-66.0160,0.00,0.00,2026-04-18T05:22:59.806408
1300000,19396.336369,0.0100,529.5360,0.00,0.00,2026-04-18T05:42:45.989821
1310000,19604.379169,0.0100,-271.2320,0.00,0.00,2026-04-18T06:02:23.100968
1320000,19937.742110,0.0100,-47.7760,0.00,0.00,2026-04-18T06:22:10.438597
1330000,19620.568086,0.0100,-124.1280,0.00,0.00,2026-04-18T06:41:55.760052
1340000,19829.282561,0.0100,343.1680,0.00,0.00,2026-04-18T07:01:38.070731
1350000,19186.269045,0.0100,166.8800,0.00,0.00,2026-04-18T07:21:17.512890
1360000,18350.354281,0.0100,225.7600,0.00,0.00,2026-04-18T07:40:56.850966
1370000,18901.474428,0.0100,265.1840,0.00,0.00,2026-04-18T08:00:32.171524
1380000,19458.220372,0.0100,60.6720,0.00,0.00,2026-04-18T08:20:16.420388
1390000,19046.835903,0.0100,260.3200,0.00,0.00,2026-04-18T08:40:00.241015
1400000,35592.619294,0.0100,197.3760,0.00,0.00,2026-04-18T08:59:37.414029
